https://www.ssa.gov/OACT/babynames/decades/names1980s.html
rank,maleName,number,femaleName,number
1,Michael,663844,Jessica,469520
2,Christopher,554976,Jennifer,440895
3,Matthew,459044,Amanda,369735
4,Joshua,396628,Ashley,352192
5,David,383784,Sarah,272636
6,James,356548,Stephanie,218162
7,Daniel,345576,Melissa,217933
8,Robert,321719,Nicole,210500
9,John,321226,Elizabeth,198984
10,Joseph,299485,Heather,191863
11,Jason,292153,Tiffany,158626
12,Justin,289842,Michelle,154028
13,Andrew,285125,Amber,153956
14,Ryan,279025,Megan,153511
15,William,248332,Amy,150670
16,Brian,234057,Rachel,146676
17,Brandon,232250,Kimberly,146442
18,Jonathan,229994,Christina,146014
19,Nicholas,223355,Lauren,145162
20,Anthony,211883,Crystal,141013
21,Eric,204272,Brittany,140860
22,Adam,195123,Rebecca,136238
23,Kevin,188709,Laura,134613
24,Thomas,177851,Danielle,134379
25,Steven,177469,Emily,131761
26,Timothy,172856,Samantha,121142
27,Richard,154770,Angela,116590
28,Jeremy,153446,Erin,115814
29,Jeffrey,144821,Kelly,109555
30,Kyle,141966,Sara,104675
31,Benjamin,141430,Lisa,102613
32,Aaron,138384,Katherine,99185
33,Charles,131926,Andrea,98262
34,Mark,129471,Jamie,96554
35,Jacob,124270,Mary,95862
36,Stephen,113641,Erica,93154
37,Patrick,111436,Courtney,84314
38,Scott,108193,Kristen,83229
39,Nathan,106014,Shannon,78422
40,Paul,104410,April,75948
41,Sean,103882,Katie,72877
42,Travis,102951,Lindsey,71940
43,Zachary,101854,Kristin,70558
44,Dustin,97323,Lindsay,68491
45,Gregory,93674,Christine,68018
46,Kenneth,89141,Alicia,66967
47,Jose,86634,Maria,65752
48,Tyler,86470,Vanessa,65726
49,Jesse,85934,Kathryn,62443
50,Alexander,82034,Allison,62332
51,Bryan,80514,Julie,61687
52,Samuel,73461,Anna,57324
53,Derek,72926,Tara,56339
54,Bradley,69364,Kayla,55290
55,Chad,69070,Natalie,54443
56,Shawn,65610,Victoria,53274
57,Edward,60842,Monica,51869
58,Jared,60309,Jacqueline,51560
59,Cody,60283,Holly,49656
60,Jordan,57175,Kristina,45948
61,Peter,56735,Patricia,45126
62,Corey,53620,Cassandra,44910
63,Keith,52646,Brandy,44526
64,Marcus,51810,Whitney,44374
65,Juan,51438,Chelsea,43163
66,Donald,50854,Brandi,42888
67,Ronald,46678,Catherine,42433
68,George,45721,Cynthia,41667
69,Phillip,45712,Kathleen,39404
70,Cory,44371,Veronica,39234
71,Joel,43572,Leslie,38728
72,Shane,43184,Natasha,38209
73,Douglas,41756,Krystal,37496
74,Antonio,41623,Stacy,36991
75,Raymond,41514,Diana,36898
76,Carlos,41497,Erika,36852
77,Brett,41304,Dana,36822
78,Gary,40239,Jenna,36599
79,Alex,38719,Meghan,36212
80,Nathaniel,38659,Carrie,36082
81,Craig,38112,Leah,36051
82,Ian,37794,Melanie,35953
83,Luis,37437,Brooke,34982
84,Erik,36354,Karen,34919
85,Derrick,36350,Alexandra,34810
86,Casey,35978,Valerie,34628
87,Philip,35735,Caitlin,33600
88,Frank,33613,Julia,33356
89,Evan,32483,Jasmine,32955
90,Gabriel,32336,Alyssa,32951
91,Victor,32284,Hannah,32705
92,Vincent,32062,Stacey,32137
93,Austin,31308,Brittney,31535
94,Brent,31289,Susan,30552
95,Larry,31284,Margaret,30359
96,Seth,31137,Sandra,30038
97,Wesley,31096,Candice,29848
98,Dennis,30471,Latoya,29537
99,Todd,30341,Bethany,29342
100,Christian,30284,Misty,29116
101,Curtis,29906,Katrina,28834
102,Jeffery,29578,Tracy,28493
103,Randy,29518,Casey,27916
104,Jeremiah,28339,Kelsey,27760
105,Adrian,28144,Kara,27507
106,Jesus,27389,Nichole,27234
107,Luke,27064,Alison,27019
108,Alan,26835,Heidi,26386
109,Trevor,26705,Alexis,26324
110,Russell,26661,Molly,25886
111,Mario,26404,Tina,25844
112,Lucas,26094,Pamela,25743
113,Jerry,25759,Rachael,25670
114,Miguel,25559,Nancy,25489
115,Carl,25471,Jillian,25449
116,Blake,25406,Candace,25169
117,Cameron,24609,Denise,25114
118,Mitchell,24544,Sabrina,24636
119,Troy,24544,Gina,24461
120,Tony,24498,Renee,24416
121,Shaun,24472,Jill,24409
122,Terry,24159,Kendra,24388
123,Johnny,23498,Morgan,24290
124,Martin,23230,Brenda,24149
125,Ricardo,23094,Monique,23899
126,Bobby,22023,Teresa,23415
127,Allen,21912,Krista,22868
128,Johnathan,21908,Linda,22818
129,Jorge,21731,Miranda,22718
130,Devin,21706,Robin,22697
131,Andre,21604,Dawn,22407
132,Henry,20731,Theresa,22389
133,Billy,20653,Kristy,22387
134,Caleb,20649,Tanya,22305
135,Marc,20522,Wendy,22273
136,Garrett,20481,Melinda,22215
137,Ricky,20166,Joanna,22211
138,Francisco,20081,Anne,22120
139,Kristopher,20071,Felicia,21951
140,Danny,20012,Desiree,21812
141,Manuel,19982,Jaclyn,21800
142,Lee,19792,Alisha,21749
143,Lawrence,19643,Lori,21647
144,Jonathon,19579,Tamara,21234
145,Jimmy,19525,Marissa,21109
146,Lance,19452,Kelli,21049
147,Taylor,19423,Lacey,20774
148,Randall,19327,Abigail,20651
149,Micheal,18735,Christy,20229
150,Mathew,18623,Jenny,19716
151,Albert,18506,Tabitha,19578
152,Jamie,18413,Colleen,19466
153,Isaac,18372,Meredith,19208
154,Roger,18000,Barbara,19134
155,Rodney,17873,Angelica,19075
156,Roberto,17820,Carolyn,18634
157,Jon,17705,Rebekah,18316
158,Colin,17679,Ebony,18262
159,Walter,17568,Deanna,18156
160,Clinton,17536,Tonya,17989
161,Louis,17359,Caroline,17944
162,Clayton,16933,Kristi,17709
163,Willie,16892,Kari,17544
164,Arthur,16797,Michele,17266
165,Chase,16565,Brianna,17136
166,Joe,16510,Bridget,17103
167,Jack,15941,Angel,16741
168,Jay,15829,Marie,16538
169,Angel,15800,Sharon,16502
170,Calvin,15786,Sheena,16257
