https://www.ssa.gov/OACT/babynames/decades/names1980s.html
rank,maleName,number,femaleName,number
171,Ross,15718,Tasha,16255
172,Darren,15701,Meagan,16249
173,Oscar,15658,Jaime,16214
174,Drew,15596,Cindy,16019
175,Maurice,15575,Priscilla,16006
176,Gerald,15512,Ann,15930
177,Alejandro,15320,Ashlee,15850
178,Spencer,15182,Stefanie,15830
179,Hector,15108,Cassie,15760
180,Ruben,14856,Adrienne,15671
181,Wayne,14750,Tammy,15649
182,Brendan,14601,Ana,15518
183,Grant,14521,Beth,15373
184,Javier,14486,Dominique,15100
185,Bruce,14339,Latasha,15036
186,Roy,14301,Cristina,15032
187,Dylan,14177,Mallory,14997
188,Logan,13997,Virginia,14996
189,Edwin,13903,Deborah,14780
190,Omar,13685,Audrey,14673
191,Brad,13584,Katelyn,14643
192,Reginald,13500,Regina,14577
193,Fernando,13195,Carla,14455
194,Darrell,13168,Cheryl,14320
195,Sergio,13150,Olivia,14066
196,Frederick,13059,Autumn,13825
197,Julian,12932,Claudia,13795
198,Jaime,12850,Jordan,13790
199,Jermaine,12804,Nina,13636
200,Geoffrey,12735,Taylor,13620
