https://www.ssa.gov/OACT/babynames/decades/names1920s.html
rank,maleName,number,femaleName,number
1,Robert,576373,Mary,701760
2,John,564060,Dorothy,368874
3,James,515307,Helen,290404
4,William,512407,Betty,283097
5,Charles,298033,Margaret,245011
6,George,261946,Ruth,218522
7,Joseph,243814,Virginia,169555
8,Richard,222606,Doris,151191
9,Edward,197352,Mildred,147155
10,Donald,191820,Frances,140390
11,Thomas,161113,Elizabeth,139672
12,Frank,151832,Evelyn,124167
13,Harold,133593,Anna,123896
14,Paul,132389,Marie,110564
15,Raymond,124214,Alice,110526
16,Walter,119809,Jean,105999
17,Jack,115984,Shirley,98601
18,Henry,104555,Barbara,97213
19,Kenneth,99492,Irene,92837
20,Arthur,97113,Marjorie,91222
21,Albert,94434,Florence,88295
22,David,88742,Lois,88131
23,Harry,86183,Martha,86788
24,Eugene,84755,Rose,85307
25,Ralph,84466,Lillian,83155
26,Howard,70348,Louise,82895
27,Carl,69853,Catherine,78883
28,Willie,67992,Ruby,76733
29,Louis,67693,Eleanor,74759
30,Clarence,66576,Patricia,74736
31,Earl,63602,Gladys,72562
32,Roy,63260,Annie,69468
33,Fred,62741,Josephine,69223
34,Joe,62676,Thelma,68768
35,Francis,59097,Edna,68629
36,Lawrence,56866,Norma,65242
37,Herbert,56531,Pauline,64074
38,Leonard,53795,Lucille,63881
39,Ernest,53655,Edith,62989
40,Alfred,50157,Gloria,62858
41,Anthony,50056,Ethel,62804
42,Stanley,49456,Phyllis,61869
43,Norman,49363,Grace,60062
44,Gerald,44523,Hazel,58984
45,Daniel,43418,June,56483
46,Samuel,43364,Bernice,55840
47,Bernard,42410,Marion,55178
48,Billy,42095,Dolores,51989
49,Melvin,40583,Rita,50589
50,Marvin,39587,Lorraine,49939
51,Warren,38775,Ann,49809
52,Michael,37897,Esther,49231
53,Leroy,37871,Beatrice,49229
54,Russell,37209,Juanita,48547
55,Leo,36960,Clara,48183
56,Andrew,35954,Jane,48049
57,Edwin,35255,Geraldine,48044
58,Elmer,34919,Sarah,46770
59,Peter,34071,Emma,46538
60,Floyd,33157,Joan,45351
61,Lloyd,33127,Joyce,44175
62,Ray,32045,Nancy,43806
63,Frederick,31514,Katherine,42744
64,Theodore,31288,Gertrude,42459
65,Clifford,31243,Elsie,42099
66,Vernon,29433,Julia,40331
67,Herman,29011,Agnes,39222
68,Clyde,28955,Wilma,39126
69,Chester,28434,Marian,38978
70,Philip,27268,Bertha,38571
71,Alvin,26872,Eva,38046
72,Lester,26512,Willie,37814
73,Wayne,26403,Audrey,37550
74,Vincent,26239,Theresa,36666
75,Gordon,25622,Vivian,36572
76,Leon,25577,Wanda,36007
77,Lewis,25327,Laura,35992
78,Charlie,25176,Charlotte,35752
79,Glenn,25156,Ida,35619
80,Calvin,24784,Elaine,34907
81,Martin,24243,Anne,34512
82,Milton,24197,Marilyn,34202
83,Lee,23556,Kathryn,33791
84,Jesse,23170,Maxine,33744
85,Dale,22750,Kathleen,33597
86,Cecil,22528,Viola,33252
87,Bill,22291,Pearl,32774
88,Harvey,21786,Vera,32542
89,Roger,21754,Bessie,32159
90,Victor,21498,Myrtle,30568
91,Benjamin,21029,Alma,30436
92,Wallace,20915,Beverly,30205
93,Ronald,20898,Violet,30022
94,Sam,20843,Nellie,29689
95,Allen,20092,Ella,29519
96,Arnold,19531,Lillie,29382
97,Willard,18442,Jessie,29289
98,Gilbert,18233,Jeanne,29119
99,Edgar,18037,Eileen,28588
100,Oscar,17740,Ellen,28392
101,Gene,17579,Lucy,27434
102,Jerry,17449,Minnie,26906
103,Douglas,17302,Sylvia,26842
104,Johnnie,17294,Donna,26160
105,Claude,16999,Leona,26031
106,Don,16941,Rosemary,25966
107,Eddie,16922,Stella,25901
108,Roland,16879,Mattie,25524
109,Everett,16471,Margie,25496
110,Maurice,16160,Genevieve,24780
111,Curtis,16137,Mabel,24522
112,Marion,16035,Janet,23974
113,Virgil,15991,Geneva,23273
114,Wilbur,15713,Georgia,23229
115,Manuel,15665,Bonnie,23172
116,Stephen,15559,Carol,22980
117,Jerome,15453,Velma,22875
118,Homer,15145,Lena,22844
119,Leslie,15065,Carolyn,22776
120,Glen,14966,Mae,22758
121,Jessie,14796,Jennie,22591
122,Hubert,14695,Maria,22586
123,Jose,14449,Christine,22335
124,Jimmie,14358,Arlene,21960
125,Sidney,14201,Peggy,21872
126,Morris,14141,Marguerite,21785
127,Hugh,14107,Opal,21542
128,Max,14081,Sara,21100
129,Bobby,13879,Loretta,21070
130,Bob,13691,Harriet,20872
131,Nicholas,13610,Rosa,20793
132,Luther,13197,Muriel,20481
133,Bruce,13180,Eunice,20172
134,Junior,12925,Jeanette,19783
135,Wesley,12861,Blanche,19619
136,Rudolph,12561,Carrie,19126
137,Alexander,12539,Emily,18754
138,Franklin,12509,Beulah,18626
139,Tom,11924,Billie,18471
140,Irving,11898,Dora,18334
141,Horace,11776,Roberta,18219
142,Willis,11704,Hilda,18191
143,Patrick,11462,Naomi,18184
144,Steve,11354,Anita,18053
145,Johnny,11343,Jacqueline,17882
146,Dean,11157,Alberta,17862
147,Julius,10982,Inez,17597
148,Keith,10915,Delores,16462
149,Oliver,10899,Fannie,16456
150,Earnest,10869,Hattie,16369
151,Ben,10610,Lula,16316
152,Jim,10565,Verna,16264
153,Tony,10399,Cora,16160
154,Edmund,10205,Constance,15570
155,Lyle,10163,Madeline,15558
156,Guy,9872,Miriam,15505
157,Salvatore,9853,Ada,15134
158,Orville,9722,Claire,14994
159,Delbert,9678,Mamie,14807
160,Billie,9548,Lola,14654
161,Phillip,9525,Rosie,14290
162,Clayton,9414,Erma,14260
163,Otis,9352,Rachel,14199
164,Archie,9293,Mable,14010
165,Alex,9182,Flora,13962
166,Angelo,9130,Daisy,13659
167,Mike,9076,Sally,13474
168,Jacob,9046,Marcella,13397
169,Clifton,8733,Bette,13273
170,Bennie,8596,Olga,12788
171,Matthew,8567,Caroline,12694
172,Duane,8565,Laverne,12642
173,Clinton,8443,Sophie,12552
174,Dennis,8146,Nora,12300
175,Wilbert,8114,Rebecca,12283
176,Dan,8099,Estelle,12279
177,Jay,8054,Irma,12238
178,Marshall,8040,Susie,12179
179,Leland,8023,Eula,12160
180,Merle,7970,Winifred,12083
181,Ira,7911,Eloise,11923
182,Nathaniel,7795,Janice,11810
183,Ivan,7627,Maggie,11696
184,Ervin,7594,Antoinette,11578
185,Jimmy,7332,Nina,11329
186,Irvin,7246,Rosalie,11297
187,Alton,7243,Imogene,11296
188,Lowell,7236,Lorene,11243
189,Dewey,7224,Olive,10889
190,Larry,7219,Sadie,10846
191,Emil,7170,Regina,10676
192,Antonio,7141,Victoria,10547
193,Wilfred,7134,Henrietta,10453
194,Elbert,7076,Della,10366
195,Juan,7043,Bettie,10335
196,Alan,7013,Lila,10304
197,Allan,6989,Fern,10254
198,Lonnie,6979,Faye,10233
199,Nelson,6927,Johnnie,10065
200,Forrest,6910,Jeannette,9992
