https://www.ssa.gov/OACT/babynames/decades/names1930s.html
rank,maleName,number,femaleName,number
1,Robert,590781,Mary,572986
2,James,547456,Betty,300399
3,John,487921,Barbara,296409
4,William,416715,Shirley,229374
5,Richard,330478,Patricia,220581
6,Charles,303202,Dorothy,210410
7,Donald,283698,Joan,173436
8,George,192283,Margaret,157368
9,Thomas,183870,Nancy,142484
10,Joseph,180560,Helen,140425
11,David,164692,Carol,117731
12,Edward,147843,Joyce,115509
13,Ronald,140331,Doris,110655
14,Paul,125768,Ruth,109200
15,Kenneth,125098,Virginia,103086
16,Frank,108086,Marilyn,98534
17,Raymond,99582,Elizabeth,96477
18,Jack,96391,Jean,94184
19,Harold,95466,Frances,92116
20,Billy,88336,Beverly,80841
21,Gerald,82817,Lois,80711
22,Walter,80901,Alice,78971
23,Jerry,80689,Donna,78843
24,Joe,71465,Martha,77697
25,Eugene,70936,Dolores,77133
26,Henry,70419,Janet,76031
27,Bobby,69417,Phyllis,73804
28,Arthur,67728,Norma,72877
29,Carl,66753,Carolyn,69525
30,Larry,65246,Evelyn,69363
31,Ralph,63800,Gloria,68585
32,Albert,62822,Anna,66593
33,Willie,62465,Marie,65801
34,Fred,56163,Ann,64060
35,Michael,56004,Mildred,61734
36,Lawrence,54487,Rose,59107
37,Harry,53115,Peggy,56272
38,Roy,51493,Geraldine,50040
39,Howard,51492,Catherine,50027
40,Norman,49989,Judith,49904
41,Roger,49610,Louise,49860
42,Daniel,47998,Janice,49343
43,Louis,47748,Marjorie,49213
44,Earl,44611,Annie,48944
45,Gary,43596,Ruby,47648
46,Clarence,42672,Eleanor,46380
47,Anthony,42542,Jane,45815
48,Francis,41382,Sandra,45400
49,Wayne,41140,Irene,44447
50,Marvin,41081,Wanda,43074
51,Ernest,39341,Elaine,41108
52,Leonard,39212,June,40743
53,Herbert,37820,Joanne,40578
54,Melvin,37704,Rita,38740
55,Stanley,37130,Florence,37941
56,Leroy,36257,Delores,37602
57,Don,35978,Lillian,37394
58,Peter,35824,Marlene,37355
59,Jimmy,35396,Edna,36974
60,Alfred,34388,Sarah,36513
61,Dale,32535,Patsy,36474
62,Bill,32333,Lorraine,36332
63,Samuel,32134,Thelma,36253
64,Bernard,30546,Josephine,36050
65,Ray,30210,Juanita,35916
66,Gene,29310,Bonnie,35801
67,Philip,28846,Arlene,34797
68,Russell,28839,Gladys,34762
69,Frederick,26604,Joann,34696
70,Franklin,26378,Sally,34679
71,Dennis,26367,Charlotte,34646
72,Douglas,26032,Kathleen,34551
73,Jimmie,25811,Audrey,34006
74,Gordon,25461,Pauline,33689
75,Andrew,25028,Wilma,33187
76,Theodore,24958,Sylvia,33009
77,Floyd,24886,Theresa,32788
78,Johnny,24596,Jacqueline,32112
79,Allen,24356,Clara,31658
80,Glenn,24222,Ethel,31584
81,Bruce,24120,Loretta,31536
82,Edwin,24021,Grace,31357
83,Lee,23953,Sharon,31085
84,Lloyd,23797,Edith,31047
85,Bob,23291,Lucille,30842
86,Clifford,23099,Emma,30019
87,Leon,23007,Bernice,29906
88,Leo,22863,Marion,29565
89,Clyde,22451,Linda,29360
90,Eddie,22326,Jo,28652
91,Vernon,22196,Anne,28622
92,Martin,21928,Hazel,28564
93,Alvin,21484,Roberta,27731
94,Jim,20824,Carole,26766
95,Herman,20319,Darlene,25956
96,Lewis,20018,Esther,25791
97,Harvey,19904,Katherine,25193
98,Tommy,19858,Ellen,25139
99,Vincent,19405,Laura,25092
100,Charlie,19154,Julia,24937
101,Warren,19149,Rosemary,24856
102,Jerome,18967,Jeanette,24754
103,Jesse,18928,Marian,23906
104,Patrick,18390,Willie,23872
105,Stephen,18271,Beatrice,23713
106,Curtis,18008,Margie,23341
107,Arnold,17889,Billie,23296
108,Gilbert,17746,Vivian,22932
109,Elmer,17371,Eva,22797
110,Lester,16985,Kathryn,22582
111,Duane,16855,Elsie,22344
112,Phillip,16532,Judy,22311
113,Cecil,16482,Eileen,22258
114,Tom,16426,Anita,22225
115,Alan,16374,Diane,22196
116,Milton,15729,Bertha,21234
117,Jackie,15678,Susan,21029
118,Victor,15568,Maria,20637
119,Johnnie,15333,Maxine,20478
120,Roland,15000,Ida,20232
121,Benjamin,14611,Yvonne,20224
122,Glen,14484,Ella,19964
123,Chester,14413,Lillie,19923
124,Calvin,14177,Constance,19896
125,Keith,13868,Sue,19504
126,Dean,13626,Bobbie,19479
127,Sam,13351,Georgia,19013
128,Wallace,13242,Jeanne,18757
129,Claude,12741,Christine,18485
130,Maurice,12640,Sara,18262
131,Willard,12457,Alma,18248
132,Manuel,12329,Bessie,18036
133,Jose,12293,Agnes,18032
134,Leslie,12243,Vera,18022
135,Edgar,11860,Nellie,17704
136,Marion,11858,Kay,17301
137,Max,11756,Jessie,17248
138,Hugh,11699,Karen,16694
139,Oscar,11373,Lucy,16413
140,Virgil,11363,Mattie,16296
141,Allan,11358,Gertrude,16137
142,Jessie,11233,Rosa,16048
143,Darrell,11123,Minnie,15872
144,Terry,11026,Gail,15854
145,Everett,10955,Connie,15653
146,Wesley,10938,Geneva,14279
147,Ted,10526,Viola,14257
148,Freddie,10454,Velma,14250
149,Jay,10216,Marcia,14246
150,Dick,10163,Leona,14173
151,Hubert,9819,Myrtle,14134
152,Nicholas,9716,Violet,13863
153,Billie,9703,Rosalie,13712
154,Rodney,9695,Harriet,13690
155,Lowell,9659,Annette,13530
156,Dan,9629,Naomi,13500
157,Neil,9466,Charlene,13471
158,Sidney,9419,Pearl,13295
159,Homer,9412,Joy,13185
160,Delbert,9166,Mae,12860
161,Tony,9162,Suzanne,12760
162,Morris,9113,Claire,12639
163,Lyle,9057,Rebecca,12616
164,Wilbur,9044,Faye,12554
165,Luther,8860,Carrie,12526
166,Earnest,8722,Pat,12462
167,Ronnie,8709,Dora,12385
168,Bennie,8703,Rachel,12268
169,Joel,8688,Rosie,12060
170,Ben,8639,Emily,11918
171,Steve,8572,Eunice,11601
172,Rudolph,8199,Maureen,11460
173,Willis,8191,Alberta,11347
174,Horace,8127,Cora,11252
175,Lonnie,8116,Stella,11204
176,Mike,8029,Lula,11078
177,Junior,8004,Sheila,10958
178,Carroll,7963,Caroline,10845
179,Karl,7723,Glenda,10590
180,Guy,7563,Verna,10583
181,Roosevelt,7479,Lena,10538
182,Otis,7456,Lola,10391
183,Mark,7447,Myrna,10235
184,Nathaniel,7411,Hattie,10229
185,Danny,7236,Rosemarie,10131
186,Alton,7214,Ramona,10118
187,Marshall,7174,Gwendolyn,10108
188,Clayton,7171,Jeannette,9798
189,Alexander,7094,Erma,9700
190,Benny,6863,Genevieve,9690
191,Clifton,6857,Cynthia,9666
192,Archie,6733,Nina,9663
193,Oliver,6709,Patty,9625
194,Clinton,6708,Fannie,9550
195,Barry,6643,Diana,9501
196,Juan,6613,Jennie,9488
197,Salvatore,6481,Hilda,9454
198,Nelson,6474,Marguerite,9328
199,Jon,6363,Johnnie,9064
200,Alex,6307,Daisy,9063
