https://www.ssa.gov/OACT/babynames/decades/names1960s.html
rank,maleName,number,femaleName,number
1,Michael,833149,Lisa,496978
2,David,734000,Mary,355230
3,John,713442,Susan,287651
4,James,684802,Karen,286051
5,Robert,650801,Kimberly,259085
6,Mark,441421,Patricia,231158
7,William,421455,Linda,225430
8,Richard,373930,Donna,213458
9,Thomas,327090,Michelle,208289
10,Jeffrey,302021,Cynthia,196608
11,Steven,290624,Sandra,183839
12,Joseph,283083,Deborah,183430
13,Timothy,276836,Tammy,182214
14,Kevin,271420,Pamela,181935
15,Scott,266855,Lori,176554
16,Brian,258167,Laura,174178
17,Charles,249414,Elizabeth,168908
18,Paul,242518,Julie,166144
19,Daniel,242056,Brenda,164494
20,Christopher,237180,Jennifer,164407
21,Kenneth,227514,Barbara,159758
22,Anthony,203153,Angela,159272
23,Gregory,187515,Sharon,154896
24,Ronald,182177,Debra,153767
25,Donald,172632,Teresa,151781
26,Gary,166027,Nancy,142721
27,Stephen,152234,Christine,139330
28,Eric,152219,Cheryl,135643
29,Edward,143984,Denise,128820
30,Douglas,135001,Kelly,128059
31,Todd,128746,Tina,126395
32,Patrick,122737,Kathleen,120950
33,George,113028,Melissa,119204
34,Keith,112586,Robin,118321
35,Larry,108587,Amy,116783
36,Matthew,105981,Diane,114446
37,Terry,101472,Dawn,114293
38,Andrew,97137,Carol,112331
39,Dennis,94983,Tracy,103782
40,Randy,93882,Kathy,101121
41,Jerry,93551,Rebecca,99461
42,Peter,92426,Theresa,97115
43,Frank,87169,Kim,94387
44,Craig,84714,Rhonda,93605
45,Raymond,81799,Stephanie,92820
46,Jeffery,79523,Cindy,91590
47,Bruce,74639,Janet,89315
48,Rodney,72192,Wendy,88963
49,Mike,71462,Maria,88807
50,Roger,71442,Michele,86992
51,Tony,70580,Jacqueline,84388
52,Ricky,66386,Debbie,84206
53,Steve,65637,Margaret,81865
54,Jeff,62081,Paula,80511
55,Troy,61409,Sherry,77521
56,Alan,61393,Catherine,76785
57,Carl,60788,Carolyn,75259
58,Danny,60721,Laurie,74449
59,Russell,60450,Sheila,74074
60,Chris,56358,Ann,72077
61,Bryan,55304,Jill,69144
62,Gerald,55298,Connie,65286
63,Wayne,54759,Diana,65037
64,Joe,53390,Terri,63737
65,Randall,52047,Suzanne,59759
66,Lawrence,51347,Andrea,58406
67,Dale,50424,Beth,58384
68,Phillip,50391,Janice,57967
69,Johnny,49837,Valerie,56586
70,Vincent,49483,Renee,55813
71,Martin,49106,Leslie,54458
72,Bradley,48734,Christina,52784
73,Billy,48461,Gina,52369
74,Glenn,48093,Lynn,51929
75,Shawn,47797,Annette,51914
76,Jonathan,47402,Cathy,51624
77,Jimmy,47393,Katherine,50620
78,Sean,47298,Judy,50327
79,Curtis,47246,Carla,47900
80,Barry,47220,Wanda,47772
81,Bobby,46389,Anne,47765
82,Walter,45932,Dana,47699
83,Jon,44885,Joyce,46122
84,Philip,44778,Regina,45825
85,Samuel,44256,Beverly,45241
86,Jay,42721,Monica,45187
87,Jason,42554,Bonnie,45085
88,Dean,42534,Kathryn,44866
89,Jose,42037,Anita,44406
90,Tim,41584,Sarah,43912
91,Roy,40034,Darlene,43529
92,Willie,39819,Jane,43333
93,Arthur,39616,Sherri,41630
94,Darryl,39194,Martha,41035
95,Henry,39136,Anna,40917
96,Darrell,38018,Colleen,40672
97,Allen,37706,Vicki,40510
98,Victor,36832,Tracey,40287
99,Harold,36740,Judith,39777
100,Greg,36452,Tamara,39007
101,Albert,36377,Gloria,38588
102,Jack,35599,Betty,38394
103,Darren,35042,Stacey,38264
104,Ronnie,34714,Penny,38218
105,Ralph,34181,Shirley,38072
106,Joel,33830,Victoria,37733
107,Louis,33386,Jean,37282
108,Jim,33201,Peggy,37035
109,Micheal,31968,Melanie,36752
110,Marc,31375,Joan,36673
111,Frederick,30771,Melinda,36296
112,Eddie,30577,Shelly,35658
113,Lee,30201,Stacy,35527
114,Stanley,29996,Virginia,35343
115,Tommy,29359,Marie,34808
116,Eugene,29309,Maureen,34445
117,Tom,29197,Ruth,34185
118,Tracy,29178,Julia,34183
119,Howard,28698,Ellen,34142
120,Leonard,28436,Tonya,34072
121,Kurt,28211,Shannon,33851
122,Marvin,28128,Heidi,33744
123,Kelly,28013,Joanne,33359
124,Brent,27165,Dorothy,33007
125,Ernest,26891,Rita,32878
126,Dwayne,26785,Gail,32871
127,Aaron,26079,Heather,32706
128,Brett,25838,Deanna,32268
129,Rick,25728,Holly,32143
130,Benjamin,25615,Rose,31859
131,Bill,25144,Vickie,31762
132,Reginald,24923,Carrie,31170
133,Duane,23762,Veronica,30034
134,Juan,23453,Yvonne,29959
135,Fred,23192,Becky,29599
136,Melvin,23088,Helen,29098
137,Adam,22938,Sylvia,28614
138,Norman,22750,Yolanda,28440
139,Dan,22714,April,28304
140,Mitchell,22677,Terry,27634
141,Harry,22667,Elaine,27464
142,Jesse,22614,Sheri,27328
143,Carlos,22393,Marilyn,27002
144,Nicholas,22373,Alice,26954
145,Jerome,22295,Jodi,26875
146,Kirk,22215,Rachel,26796
