https://www.ssa.gov/OACT/babynames/decades/names1960s.html
rank,maleName,number,femaleName,number
147,Ray,22187,Sheryl,26059
148,Don,22124,Jackie,25894
149,Calvin,21891,Phyllis,25698
150,Glen,21880,Jamie,25697
151,Brad,21357,Frances,25001
152,Theodore,21293,Crystal,24973
153,Derrick,21195,Joann,24876
154,Karl,21183,Eileen,24869
155,Edwin,20636,Shelley,24856
156,Earl,20370,Toni,24839
157,Lance,20039,Charlene,24622
158,Francis,19338,Kristin,24353
159,Clifford,19263,Sally,24345
160,Kent,19257,Charlotte,24234
161,Derek,19025,Kristine,24125
162,Wesley,18808,Jeanne,23544
163,Alfred,18649,Sara,23043
164,Antonio,18599,Tanya,23028
165,Warren,18560,Belinda,22945
166,Andre,18116,Carmen,22878
167,Clarence,17503,Sandy,22712
168,Bernard,17474,Evelyn,22579
169,Kyle,16588,Alicia,22422
170,Tyrone,16425,Sonya,22292
171,Manuel,16038,Lorraine,22249
172,Chad,15910,Jeanette,22086
173,Luis,15910,Yvette,22085
174,Gordon,15830,Loretta,22070
175,Dave,15772,Joy,21757
176,Nathan,15532,Sue,21603
177,Guy,15361,Norma,21514
178,Kerry,15286,Roberta,21099
179,Daryl,15267,Vanessa,20984
180,Leroy,15220,Shari,20517
181,Lonnie,15122,Jo,20197
182,Perry,15119,Natalie,19567
183,Erik,14771,Tammie,19345
184,Maurice,14644,Traci,18703
185,Marcus,14551,Gwendolyn,18636
186,Alvin,14506,Nicole,18567
187,Gilbert,14426,Felicia,18551
188,Vernon,14408,Melody,18471
189,Alexander,14183,Tami,18444
190,Stuart,13963,Shelia,18443
191,Rickey,13942,Marcia,18425
192,Shane,13932,Doris,18191
193,Franklin,13889,Kristen,18042
194,Leon,13821,Audrey,17868
195,Gregg,13790,Karla,17716
196,Bob,13787,Jody,17670
197,Darin,13743,Glenda,17589
198,Leslie,13723,Patty,17520
199,Herbert,13701,Amanda,17174
200,Gene,13698,Pam,17109
