https://www.ssa.gov/OACT/babynames/decades/names1970s.html
rank,maleName,number,femaleName,number
1,Michael,707588,Jennifer,581759
2,Christopher,475597,Amy,269000
3,Jason,462916,Melissa,253285
4,David,445926,Michelle,249143
5,James,444900,Kimberly,229108
6,John,402813,Lisa,228689
7,Robert,397376,Angela,225261
8,Brian,322803,Heather,203917
9,William,283522,Stephanie,160469
10,Matthew,277918,Nicole,144668
11,Joseph,244922,Jessica,143503
12,Daniel,244557,Elizabeth,142853
13,Kevin,212331,Rebecca,137295
14,Eric,211554,Kelly,133558
15,Jeffrey,202926,Mary,126262
16,Richard,202861,Christina,125748
17,Scott,194640,Amanda,123935
18,Mark,194389,Julie,121936
19,Steven,188148,Sarah,118831
20,Thomas,186852,Laura,118213
21,Timothy,181320,Shannon,113807
22,Anthony,174925,Christine,103237
23,Charles,163100,Tammy,98828
24,Joshua,140386,Tracy,95533
25,Ryan,139724,Karen,95185
26,Jeremy,139361,Dawn,92449
27,Paul,136453,Susan,88316
28,Andrew,133018,Andrea,86433
29,Gregory,115613,Tina,84766
30,Chad,113572,Patricia,81108
31,Kenneth,111520,Cynthia,80207
32,Jonathan,107977,Lori,77780
33,Stephen,107862,Rachel,77754
34,Shawn,105813,April,76945
35,Aaron,101521,Maria,76311
36,Adam,91800,Wendy,74186
37,Patrick,91298,Crystal,73766
38,Justin,86586,Stacy,69902
39,Sean,83904,Erin,67894
40,Edward,83481,Jamie,67847
41,Todd,83363,Carrie,66829
42,Donald,82459,Tiffany,65159
43,Ronald,81763,Tara,65072
44,Benjamin,81378,Sandra,64335
45,Keith,76724,Monica,61676
46,Bryan,71386,Danielle,60921
47,Gary,68284,Stacey,59214
48,Jose,66385,Pamela,58041
49,Nathan,65904,Tonya,57790
50,Douglas,65195,Sara,56965
51,Nicholas,65101,Michele,56559
52,Brandon,65079,Teresa,56034
53,George,64775,Denise,55875
54,Travis,64137,Jill,55074
55,Peter,62359,Katherine,54062
56,Craig,58821,Melanie,53323
57,Bradley,58720,Dana,51361
58,Larry,58148,Holly,50466
59,Dennis,50575,Erica,49606
60,Shane,50297,Brenda,48592
61,Raymond,49365,Deborah,47857
62,Troy,48861,Tanya,47827
63,Jerry,48363,Sharon,47777
64,Samuel,48108,Donna,47348
65,Frank,46940,Amber,47070
66,Jesse,44907,Emily,46851
67,Jeffery,44574,Robin,45943
68,Juan,43401,Linda,45904
69,Terry,42434,Kathleen,44847
70,Corey,41013,Leslie,44835
71,Phillip,39854,Christy,44591
72,Marcus,39489,Kristen,44213
73,Derek,38348,Catherine,43863
74,Rodney,37470,Kristin,42384
75,Joel,37241,Misty,42376
76,Carlos,36959,Barbara,42240
77,Randy,36547,Heidi,42226
78,Jacob,36387,Nancy,41852
79,Jamie,36300,Cheryl,40394
80,Tony,35698,Theresa,40081
81,Russell,35481,Brandy,40071
82,Brent,35396,Alicia,39251
83,Antonio,33278,Veronica,38795
84,Billy,33226,Gina,38119
85,Derrick,32866,Jacqueline,37964
86,Kyle,32664,Rhonda,37948
87,Erik,32102,Anna,37805
88,Johnny,32035,Renee,37596
89,Marc,31843,Megan,37368
90,Philip,31385,Tamara,37075
91,Carl,31381,Melinda,36439
92,Roger,29725,Kathryn,36435
93,Bobby,29078,Debra,34609
94,Brett,28936,Sherry,34207
95,Danny,28868,Allison,34172
96,Curtis,28818,Valerie,33816
97,Jon,28702,Diana,33348
98,Vincent,27654,Paula,32726
99,Cory,27515,Kristina,32649
100,Jimmy,27110,Ann,32030
101,Victor,26747,Margaret,31955
102,Lawrence,26666,Victoria,30889
103,Dustin,26579,Cindy,30881
104,Gerald,26159,Jodi,30353
105,Walter,25733,Natalie,29804
106,Alexander,24962,Brandi,29076
107,Joe,24947,Kristi,29036
108,Christian,24926,Suzanne,29034
109,Chris,24878,Samantha,28920
110,Alan,24819,Beth,28863
111,Shannon,24648,Tracey,28749
112,Wayne,24622,Regina,28318
113,Jared,24424,Vanessa,28078
114,Gabriel,24405,Kristy,27777
115,Martin,24283,Carolyn,27053
116,Jay,23987,Yolanda,27032
117,Luis,23972,Deanna,26982
118,Willie,23971,Carla,26847
119,Micheal,23796,Sheila,26509
120,Henry,23522,Laurie,26106
121,Wesley,23264,Anne,25602
122,Randall,23039,Shelly,25534
123,Brad,22622,Diane,25324
124,Darren,22587,Sabrina,24495
125,Roy,22355,Janet,24451
126,Albert,22121,Erika,24307
127,Arthur,22107,Katrina,24292
128,Ricky,22074,Courtney,23997
129,Lance,21813,Colleen,23762
130,Allen,21688,Carol,23478
131,Lee,21565,Julia,23422
132,Andre,21146,Jenny,22905
133,Bruce,21132,Jaime,22777
134,Mario,20954,Kathy,22707
135,Frederick,20731,Felicia,22331
136,Louis,20159,Alison,22075
137,Darrell,20077,Lauren,21842
138,Damon,20058,Kelli,21542
139,Shaun,19321,Leah,21149
140,Nathaniel,19192,Ashley,21063
141,Zachary,19081,Kim,20696
142,Casey,18986,Traci,20677
143,Adrian,18919,Kristine,20545
144,Jesus,18809,Tricia,20521
145,Jeremiah,18783,Joy,20119
146,Jack,18590,Krista,19811
147,Ronnie,18275,Kara,19762
148,Dale,18078,Terri,19603
149,Tyrone,17918,Sonya,19470
150,Manuel,17700,Aimee,19408
151,Ricardo,17667,Natasha,19331
152,Harold,17591,Cassandra,19019
153,Kelly,17323,Bridget,18873
154,Barry,17253,Anita,18832
155,Ian,17208,Kari,18753
156,Reginald,17199,Nichole,18520
157,Glenn,16892,Christie,18177
158,Ernest,16759,Marie,18133
159,Steve,16666,Virginia,18051
160,Seth,16590,Connie,17959
161,Eugene,16545,Martha,17920
162,Clinton,16352,Carmen,17875
163,Miguel,16320,Stacie,17832
164,Tommy,16179,Lynn,17613
165,Eddie,15872,Katie,17480
166,Leonard,15803,Monique,17473
167,Maurice,15235,Kristie,17369
168,Roberto,15157,Shelley,17284
169,Dwayne,14811,Sherri,17084
170,Jerome,14788,Angel,16817
171,Ralph,14759,Bonnie,16674
172,Marvin,14733,Mandy,16246
173,Francisco,14644,Jody,16222
174,Jorge,14644,Shawna,16182
175,Neil,14048,Kerry,16126
176,Alex,14023,Annette,16057
177,Dean,13903,Yvonne,15994
178,Kristopher,13886,Toni,15899
179,Calvin,13821,Meredith,15840
180,Kurt,13674,Molly,15723
181,Theodore,13579,Kendra,15665
182,Ruben,13545,Joanna,15281
183,Jermaine,13527,Sonia,15202
184,Tracy,13420,Janice,14835
185,Edwin,13368,Robyn,14686
186,Stanley,13228,Brooke,14518
