https://www.ssa.gov/OACT/babynames/decades/names1890s.html
rank,maleName,number,femaleName,number
1,John,80665,Mary,131137
2,William,72244,Anna,55261
3,James,50723,Margaret,37937
4,George,43358,Helen,37802
5,Charles,36848,Elizabeth,33879
6,Joseph,29000,Ruth,32867
7,Frank,28718,Florence,32344
8,Robert,26147,Ethel,31453
9,Edward,22033,Emma,28652
10,Henry,21664,Marie,25853
11,Harry,21330,Clara,25473
12,Thomas,21115,Bertha,25125
13,Walter,19494,Minnie,24615
14,Arthur,16349,Bessie,24417
15,Fred,14270,Alice,24415
16,Albert,13753,Lillian,24106
17,Clarence,11900,Edna,24068
18,Willie,9849,Grace,23804
19,Roy,9779,Annie,23122
20,Louis,8442,Mabel,21991
21,Earl,8297,Ida,21212
22,Paul,8181,Rose,21134
23,Carl,8047,Hazel,20154
24,Ernest,7877,Gertrude,19898
25,Samuel,7857,Martha,19415
26,Raymond,7572,Pearl,19054
27,Richard,7572,Frances,18090
28,Joe,7482,Myrtle,17717
29,David,7333,Edith,17649
30,Charlie,7261,Nellie,17285
31,Harold,7018,Sarah,17154
32,Ralph,6951,Ella,17072
33,Howard,5949,Eva,16460
34,Andrew,5719,Laura,16433
35,Herbert,5660,Elsie,16375
36,Elmer,5647,Louise,15174
37,Oscar,5612,Esther,14737
38,Jesse,5396,Catherine,14502
39,Alfred,5373,Agnes,14429
40,Will,5210,Carrie,14276
41,Daniel,5185,Lillie,14093
42,Sam,4941,Mildred,13792
43,Leo,4691,Gladys,13622
44,Jack,4636,Irene,13621
45,Lawrence,4597,Julia,13448
46,Francis,4535,Hattie,12909
47,Benjamin,4460,Cora,12880
48,Lee,4384,Lena,12491
49,Eugene,4303,Josephine,12463
50,Herman,4232,Mattie,12449
51,Peter,4028,Jennie,11876
52,Frederick,3994,Jessie,11870
53,Floyd,3957,Maude,11304
54,Michael,3926,Alma,11184
55,Ray,3763,Mae,10918
56,Lewis,3699,Blanche,10860
57,Claude,3636,Dorothy,10846
58,Clyde,3625,Ada,10379
59,Edwin,3506,Lucy,10323
60,Tom,3335,Lula,10238
61,Martin,3254,Mamie,10085
62,Leonard,3166,Fannie,9898
63,Ben,3156,Stella,9807
64,Chester,3021,Katherine,9408
65,Edgar,2982,Viola,9386
66,Jim,2841,Ruby,8699
67,Harvey,2822,Dora,8683
68,Russell,2780,Maggie,8607
69,Lester,2702,Nora,8293
70,Clifford,2701,Rosa,7881
71,Luther,2668,Beatrice,7500
72,Homer,2637,Ellen,7435
73,Jacob,2551,Sadie,7398
74,Leroy,2544,Marion,7310
75,Otto,2543,Willie,7109
76,Guy,2487,Effie,6961
77,Lloyd,2480,May,6880
78,Anthony,2453,Beulah,6785
79,Jessie,2424,Pauline,6635
80,Hugh,2405,Nettie,6538
81,Ed,2346,Susie,6530
82,Bernard,2315,Della,6410
83,Theodore,2300,Vera,6377
84,Stanley,2297,Marguerite,6376
85,Eddie,2284,Daisy,6249
86,Patrick,2233,Lydia,5942
87,Philip,2147,Virginia,5864
88,Leon,2103,Olive,5713
89,Archie,2068,Kathryn,5653
90,Leslie,2063,Evelyn,5648
91,Oliver,2035,Sallie,5580
92,Allen,2002,Lizzie,5556
93,Alexander,1954,Lottie,5499
94,Dewey,1921,Emily,5476
95,Ira,1916,Georgia,5445
96,Everett,1902,Flora,5442
97,Norman,1891,Nancy,5346
98,Horace,1814,Katie,5178
99,Victor,1811,Lucille,5105
100,Cecil,1808,Leona,5083
101,Donald,1786,Charlotte,4771
102,Charley,1755,Eleanor,4754
103,Milton,1745,Hilda,4732
104,Isaac,1735,Theresa,4730
105,Stephen,1733,Ann,4688
106,Julius,1717,Etta,4670
107,August,1703,Addie,4635
108,Alvin,1667,Caroline,4500
109,Bert,1667,Ollie,4272
110,Sidney,1612,Anne,4231
111,Percy,1571,Lola,4217
112,Marion,1508,Harriet,4171
113,Glenn,1501,Iva,4103
114,Grover,1498,Bernice,4094
115,Warren,1480,Henrietta,4035
116,Alex,1448,Lela,3892
117,Emil,1438,Jane,3882
118,Earnest,1390,Ora,3876
