https://www.ssa.gov/OACT/babynames/decades/names1890s.html
rank,maleName,number,femaleName,number
119,Mack,1370,Amanda,3872
120,Wesley,1365,Amelia,3725
121,Otis,1349,Inez,3682
122,Virgil,1349,Rebecca,3660
123,Willis,1331,Susan,3612
124,Melvin,1325,Mollie,3609
125,Kenneth,1298,Nannie,3599
126,Rufus,1298,Goldie,3491
127,Dave,1281,Estelle,3485
128,Dan,1274,Loretta,3382
129,Maurice,1270,Nina,3381
130,Willard,1240,Maud,3285
131,Lonnie,1237,Rachel,3279
132,Morris,1234,Eula,3270
133,Gilbert,1215,Matilda,3249
134,Vernon,1215,Eunice,3244
135,Wallace,1199,Lois,3228
136,Nathan,1180,Betty,3196
137,Johnnie,1160,Mable,3184
138,Wilbur,1142,Estella,3174
139,Jerry,1140,Marjorie,3171
140,Emmett,1136,Sara,3119
141,Matthew,1132,Violet,3076
142,Max,1112,Essie,3059
143,Calvin,1102,Amy,3042
144,Marvin,1073,Verna,3036
145,Hubert,1062,Sylvia,3025
146,Vincent,1027,Hannah,3021
147,Amos,1023,Kate,3001
148,Jess,1013,Olga,2997
149,Rudolph,998,Rosie,2918
150,Harrison,991,Genevieve,2904
151,Perry,989,Flossie,2890
152,Franklin,986,Maria,2866
153,Sylvester,971,Alta,2796
154,Glen,959,Barbara,2783
155,Mark,953,Frieda,2780
156,Manuel,952,Eliza,2723
157,Jose,947,Lulu,2659
158,Adolph,945,Ola,2652
159,Gordon,939,Augusta,2642
160,Curtis,928,Christine,2565
161,Nelson,920,Sophia,2522
162,Dennis,919,Belle,2512
163,Jay,918,Victoria,2479
164,Ollie,918,Sophie,2424
165,Marshall,916,Lucile,2412
166,Elbert,910,Irma,2407
167,Felix,903,Ina,2397
168,Irving,903,Jean,2396
169,Bennie,902,Thelma,2385
170,Jake,892,Celia,2373
171,Ellis,886,Doris,2342
172,Gus,885,Allie,2339
173,Phillip,884,Josie,2329
174,Alonzo,879,Alberta,2327
175,Roland,875,Winifred,2293
176,Orville,870,Freda,2289
177,Edmund,868,Janie,2272
178,Adam,863,Madeline,2242
179,Arnold,859,Marian,2168
180,Clinton,857,Luella,2151
181,Nicholas,857,Nell,2138
182,Cornelius,853,Callie,2131
183,Ross,851,Winnie,2126
184,Roscoe,850,Velma,2099
185,Abraham,849,Mayme,2098
186,Aaron,830,Naomi,2074
187,Mike,828,Selma,2067
188,Reuben,828,Isabel,2047
189,Claud,827,Tillie,2009
190,Clifton,815,Vivian,1999
191,Bill,789,Millie,1959
192,Irvin,789,Rena,1945
193,Sherman,766,Kathleen,1942
194,Owen,761,Fern,1937
195,Gerald,753,Elva,1900
196,Clayton,752,Erma,1895
197,Steve,752,Isabelle,1890
198,Moses,751,Norma,1885
199,Simon,731,Delia,1871
200,Jasper,725,Virgie,1811
