https://www.ssa.gov/OACT/babynames/decades/names2010s.html
rank,maleName,number,femaleName,number
1,Noah,183076,Emma,194836
2,Liam,173797,Olivia,184355
3,Jacob,163027,Sophia,180953
4,William,159773,Isabella,170337
5,Mason,157718,Ava,155690
6,Ethan,148956,Mia,128931
7,Michael,144902,Abigail,118572
8,Alexander,141971,Emily,117518
9,James,139468,Charlotte,102382
10,Elijah,136822,Madison,98321
11,Benjamin,134349,Elizabeth,93919
12,Daniel,133732,Amelia,93717
13,Aiden,129482,Evelyn,86902
14,Logan,126705,Ella,85831
15,Jayden,125896,Chloe,85195
16,Matthew,124927,Harper,85111
17,Lucas,118538,Avery,82860
18,David,116507,Sofia,82337
19,Jackson,116117,Grace,72937
20,Joseph,115497,Addison,70942
21,Anthony,111969,Victoria,70929
22,Samuel,107958,Lily,68212
23,Joshua,106078,Natalie,68061
24,Gabriel,105424,Aubrey,65848
25,Andrew,104914,Lillian,64885
26,John,102630,Zoey,64846
27,Christopher,101968,Hannah,64409
28,Oliver,98059,Layla,63117
29,Dylan,96278,Brooklyn,60238
30,Carter,95135,Scarlett,58220
31,Isaac,94419,Zoe,58047
32,Luke,93183,Camila,57864
33,Henry,92516,Samantha,56885
34,Owen,91040,Riley,56082
35,Ryan,90903,Leah,55964
36,Nathan,87942,Aria,52189
37,Wyatt,87644,Savannah,51769
38,Caleb,86619,Audrey,51576
39,Sebastian,86602,Anna,51213
40,Jack,85627,Allison,48961
41,Christian,84030,Gabriella,48059
42,Jonathan,79760,Claire,47706
43,Julian,79442,Hailey,47696
44,Landon,79242,Penelope,47570
45,Levi,77841,Aaliyah,46627
46,Isaiah,76108,Sarah,46572
47,Hunter,74767,Nevaeh,44868
48,Aaron,70397,Kaylee,44550
49,Charles,69924,Stella,44177
50,Thomas,69909,Mila,44081
51,Eli,69771,Nora,44051
52,Jaxon,69044,Ellie,43184
53,Connor,68219,Bella,43088
54,Nicholas,66721,Lucy,41983
55,Jeremiah,66618,Alexa,41977
56,Grayson,66312,Arianna,41742
57,Cameron,66126,Violet,41514
58,Brayden,65923,Ariana,41289
59,Adrian,65909,Genesis,40478
60,Evan,64710,Alexis,40339
61,Jordan,64362,Eleanor,40098
62,Josiah,62966,Maya,39724
63,Angel,62882,Caroline,39601
64,Robert,62548,Peyton,39582
65,Gavin,62294,Skylar,39359
66,Tyler,59277,Madelyn,39174
67,Austin,59038,Serenity,38782
68,Colton,58395,Kennedy,38557
69,Jose,55139,Taylor,38181
70,Dominic,55101,Alyssa,37882
71,Brandon,54060,Autumn,37623
72,Ian,52428,Paisley,37518
73,Lincoln,51964,Ashley,37204
74,Hudson,51433,Brianna,36869
75,Kevin,51267,Sadie,36528
76,Zachary,51082,Naomi,36131
77,Adam,50629,Kylie,36066
78,Mateo,50551,Julia,35873
79,Jason,50526,Sophie,35642
80,Chase,50251,Mackenzie,35245
81,Nolan,50015,Eva,35173
82,Ayden,49566,Gianna,34629
83,Cooper,49232,Luna,34133
84,Parker,49187,Katherine,34112
85,Xavier,48621,Hazel,33869
86,Asher,48453,Khloe,33774
87,Carson,47962,Ruby,33414
88,Jace,47404,Melanie,33057
89,Easton,46751,Piper,33051
90,Justin,45526,Lydia,32678
91,Leo,44652,Aubree,32604
92,Bentley,43842,Madeline,32348
93,Jaxson,42314,Aurora,32081
94,Nathaniel,41816,Faith,31907
95,Blake,41679,Alexandra,30943
96,Elias,40878,Alice,30602
97,Theodore,40479,Kayla,30254
98,Kayden,40249,Jasmine,29328
99,Luis,39042,Maria,28930
100,Tristan,38621,Annabelle,28914
101,Bryson,38579,Lauren,28889
102,Ezra,38579,Reagan,28834
103,Juan,37400,Elena,28771
104,Brody,37223,Rylee,28521
105,Vincent,36798,Isabelle,28484
106,Micah,36677,Bailey,28261
107,Miles,36560,Eliana,28200
108,Santiago,36425,Sydney,28067
109,Cole,36370,Makayla,27829
110,Ryder,36004,Cora,27793
111,Carlos,35266,Morgan,27619
112,Damian,35239,Natalia,27356
113,Leonardo,35206,Kimberly,27240
114,Roman,35041,Vivian,27215
115,Max,34105,Quinn,27206
116,Sawyer,34006,Valentina,27200
117,Jesus,33770,Andrea,27169
118,Diego,33367,Willow,26999
119,Greyson,33177,Clara,26633
120,Alex,32532,London,26595
121,Maxwell,32417,Jade,26513
122,Axel,31767,Liliana,26402
123,Eric,31506,Jocelyn,26334
124,Wesley,31128,Trinity,26274
125,Declan,31080,Kinsley,26267
126,Giovanni,30369,Brielle,26025
127,Ezekiel,30307,Mary,25617
128,Braxton,30268,Molly,25538
129,Ashton,30176,Hadley,25464
130,Ivan,29889,Delilah,24963
131,Hayden,29851,Emilia,24322
132,Camden,29679,Josephine,23926
133,Silas,29579,Brooke,23790
