https://www.ssa.gov/OACT/babynames/decades/names2010s.html
rank,maleName,number,femaleName,number
134,Bryce,29011,Ivy,23439
135,Weston,28788,Lilly,23438
136,Harrison,28540,Adeline,23357
137,Jameson,28510,Payton,23105
138,George,28368,Lyla,22903
139,Antonio,28299,Isla,22855
140,Timothy,28175,Jordyn,22718
141,Kaiden,28036,Paige,22598
142,Jonah,28015,Isabel,22563
143,Everett,27386,Mariah,22442
144,Miguel,26920,Mya,22336
145,Steven,26846,Nicole,22284
146,Richard,26709,Valeria,21382
147,Emmett,26138,Destiny,21056
148,Victor,26111,Rachel,21028
149,Kaleb,25987,Ximena,21015
150,Kai,25927,Emery,20948
151,Maverick,25922,Everly,20833
152,Joel,25784,Sara,20699
153,Bryan,25672,Angelina,20555
154,Maddox,25650,Adalynn,20368
155,Kingston,25565,Kendall,20239
156,Aidan,25407,Reese,20174
157,Patrick,25280,Aliyah,20134
158,Edward,25232,Margaret,20015
159,Emmanuel,25204,Juliana,19986
160,Jude,25106,Melody,19830
161,Alejandro,25020,Amy,19747
162,Preston,25003,Eden,19688
163,Luca,24914,Mckenzie,19649
164,Bennett,24884,Laila,19639
165,Jesse,24843,Vanessa,19579
166,Colin,24706,Ariel,19324
167,Jaden,24698,Gracie,19047
168,Malachi,24504,Valerie,19003
169,Kaden,24395,Adalyn,18823
170,Jayce,24262,Brooklynn,18796
171,Alan,24185,Gabrielle,18569
172,Kyle,24093,Kaitlyn,18341
173,Marcus,24089,Athena,18257
174,Brian,24069,Elise,18238
175,Ryker,23833,Jessica,18200
176,Grant,23760,Adriana,18166
177,Jeremy,23512,Leilani,18124
178,Abel,23504,Ryleigh,17859
179,Riley,23117,Daisy,17846
180,Calvin,23058,Nova,17784
181,Brantley,22426,Norah,17735
182,Caden,22349,Eliza,17699
183,Oscar,22247,Rose,17466
184,Abraham,22191,Rebecca,17451
185,Brady,21715,Michelle,17340
186,Sean,21506,Alaina,17280
187,Jake,21394,Catherine,17132
188,Tucker,21235,Londyn,16979
189,Nicolas,21198,Summer,16866
190,Mark,21078,Lila,16551
191,Amir,20448,Jayla,16521
192,Avery,20413,Katelyn,16498
193,King,20391,Daniela,16343
194,Gael,20336,Harmony,16259
195,Kenneth,20179,Alana,16236
196,Bradley,20134,Amaya,16236
197,Cayden,19738,Emerson,16220
198,Xander,19283,Julianna,16171
199,Graham,19243,Cecilia,16130
200,Rowan,18998,Izabella,16016
