https://www.ssa.gov/OACT/babynames/decades/names1950s.html
rank,maleName,number,femaleName,number
1,James,843689,Mary,625597
2,Michael,837359,Linda,564345
3,Robert,830312,Patricia,459658
4,John,797855,Susan,437764
5,David,769827,Deborah,430533
6,William,591180,Barbara,345716
7,Richard,535386,Debra,341340
8,Thomas,454335,Karen,332511
9,Mark,382509,Nancy,286802
10,Charles,361132,Donna,270334
11,Steven,333609,Cynthia,263416
12,Gary,329904,Sandra,251588
13,Joseph,299971,Pamela,237387
14,Donald,273540,Sharon,232798
15,Ronald,271126,Kathleen,224334
16,Kenneth,262791,Carol,222649
17,Paul,253159,Diane,210624
18,Larry,245662,Brenda,209238
19,Daniel,243682,Cheryl,171386
20,Stephen,207240,Janet,167515
21,Dennis,204235,Elizabeth,165658
22,Timothy,198277,Kathy,157932
23,Edward,188317,Margaret,149577
24,Jeffrey,184632,Janice,133614
25,George,181017,Carolyn,124070
26,Gregory,178416,Denise,123773
27,Kevin,158992,Judy,118054
28,Douglas,148178,Rebecca,115689
29,Terry,140714,Joyce,114978
30,Anthony,136630,Teresa,114278
31,Jerry,136565,Christine,113337
32,Bruce,136442,Catherine,108836
33,Randy,120527,Shirley,108809
34,Brian,112323,Judith,108755
35,Frank,112320,Betty,103203
36,Scott,111800,Beverly,97785
37,Roger,110144,Lisa,95818
38,Raymond,108921,Laura,95522
39,Peter,102733,Theresa,89602
40,Patrick,96845,Connie,88804
41,Keith,91217,Ann,87042
42,Lawrence,91099,Gloria,86706
43,Wayne,88096,Julie,86695
44,Danny,86636,Gail,85615
45,Alan,83967,Joan,85169
46,Gerald,82614,Paula,84869
47,Ricky,79157,Peggy,84289
48,Carl,78744,Cindy,83976
49,Christopher,78278,Martha,83185
50,Dale,75560,Bonnie,83010
51,Walter,72185,Jane,82921
52,Craig,69475,Cathy,82718
53,Willie,66448,Robin,82424
54,Johnny,65776,Debbie,82098
55,Arthur,65718,Diana,80230
56,Steve,64230,Marilyn,80157
57,Joe,62622,Kathryn,77802
58,Randall,62443,Dorothy,74476
59,Russell,62389,Wanda,72446
60,Jack,62383,Jean,72262
61,Henry,62227,Vicki,71976
62,Harold,62171,Sheila,70169
63,Roy,61839,Virginia,69783
64,Andrew,60955,Sherry,68324
65,Philip,60840,Katherine,66851
66,Ralph,60431,Rose,66696
67,Billy,59274,Lynn,66047
68,Glenn,58702,Jo,63946
69,Stanley,57156,Ruth,62530
70,Jimmy,54888,Maria,62447
71,Rodney,54812,Darlene,61881
72,Barry,54803,Jacqueline,60460
73,Samuel,53759,Rita,60268
74,Eric,53295,Rhonda,59815
75,Bobby,53276,Phyllis,57771
76,Albert,52833,Helen,57572
77,Phillip,52451,Vickie,56856
78,Ronnie,51296,Kim,56079
79,Martin,50986,Lori,56071
80,Mike,48351,Ellen,55384
81,Eugene,48280,Elaine,54231
82,Louis,47921,Joanne,53565
83,Howard,47853,Anne,52396
84,Allen,47311,Valerie,52233
85,Curtis,46312,Alice,52071
86,Jeffery,45866,Frances,51198
87,Frederick,44272,Suzanne,50328
88,Leonard,43559,Marie,49262
89,Harry,43332,Victoria,49125
90,Micheal,40914,Kimberly,48952
91,Tony,40779,Anita,47592
92,Ernest,39672,Laurie,46960
93,Eddie,38593,Michelle,46781
94,Fred,37451,Sally,46705
95,Darrell,37258,Terri,46431
96,Jay,36964,Marcia,43733
97,Melvin,36167,Terry,43193
98,Lee,35818,Jennifer,43071
99,Matthew,35796,Leslie,43046
100,Vincent,35340,Doris,42897
101,Tommy,34965,Maureen,42810
102,Francis,34759,Wendy,42671
103,Marvin,34704,Michele,41971
104,Dean,34573,Anna,41702
105,Rick,34372,Marsha,41554
106,Victor,33880,Angela,40356
107,Norman,33745,Sarah,39966
108,Earl,32652,Sylvia,39535
109,Jose,31431,Jill,39058
110,Calvin,30554,Dawn,38899
111,Ray,29917,Sue,38853
112,Clifford,29858,Evelyn,38407
113,Alfred,29750,Roberta,37915
114,Jerome,29702,Jeanne,37668
115,Bradley,29498,Charlotte,36999
116,Clarence,29483,Eileen,36564
117,Don,29452,Lois,36201
