https://www.ssa.gov/OACT/babynames/decades/names2000s.html
rank,maleName,number,femaleName,number
1,Jacob,273945,Emily,223723
2,Michael,250633,Madison,193181
3,Joshua,231983,Emma,181333
4,Matthew,221573,Olivia,156030
5,Daniel,203832,Hannah,155732
6,Christopher,203336,Abigail,150893
7,Andrew,202517,Isabella,149542
8,Ethan,201802,Samantha,134290
9,Joseph,194829,Elizabeth,133480
10,William,194343,Ashley,133030
11,Anthony,191885,Alexis,130803
12,David,179965,Sarah,124431
13,Alexander,178802,Sophia,119232
14,Nicholas,177586,Alyssa,114485
15,Ryan,173218,Grace,110706
16,Tyler,165556,Ava,104527
17,James,163138,Taylor,100977
18,John,160995,Brianna,99772
19,Jonathan,144800,Lauren,97147
20,Noah,143461,Chloe,96474
21,Brandon,142969,Natalie,95080
22,Christian,142390,Kayla,94338
23,Dylan,140102,Jessica,90651
24,Samuel,138527,Anna,90235
25,Benjamin,137256,Victoria,84946
26,Nathan,134822,Mia,83500
27,Zachary,134740,Hailey,81972
28,Logan,134016,Sydney,76435
29,Justin,122966,Jasmine,76049
30,Gabriel,119807,Julia,70863
31,Jose,115713,Morgan,70742
32,Austin,112748,Destiny,69796
33,Kevin,111052,Rachel,68328
34,Elijah,110372,Ella,67499
35,Caleb,110062,Kaitlyn,66905
36,Robert,106632,Megan,66825
37,Thomas,102075,Katherine,65346
38,Jordan,101156,Savannah,64737
39,Cameron,95877,Jennifer,63492
40,Jack,95500,Alexandra,61241
41,Hunter,94841,Allison,59960
42,Jackson,94479,Haley,57050
43,Angel,94306,Maria,56974
44,Isaiah,92755,Kaylee,56413
45,Evan,92135,Lily,56176
46,Isaac,90715,Makayla,54971
47,Luke,90483,Brooke,54680
48,Mason,90480,Nicole,54570
49,Jayden,88568,Mackenzie,54544
50,Jason,88542,Addison,51374
51,Gavin,88435,Stephanie,49950
52,Aaron,86946,Lillian,49378
53,Connor,85971,Andrea,49173
54,Aiden,83531,Faith,48769
55,Aidan,76499,Zoe,48747
56,Kyle,76145,Kimberly,48480
57,Juan,75835,Madeline,48274
58,Charles,75324,Alexa,48106
59,Luis,74312,Katelyn,47829
60,Adam,71002,Gabriella,47385
61,Lucas,70974,Gabrielle,47016
62,Brian,69759,Trinity,46880
63,Eric,69469,Amanda,46600
64,Adrian,66110,Kylie,46436
65,Nathaniel,64252,Mary,46196
66,Sean,64119,Paige,45572
67,Alex,63769,Riley,45523
68,Carlos,63169,Leah,45411
69,Bryan,61922,Jenna,45292
70,Ian,61920,Sara,44032
71,Owen,61866,Rebecca,43690
72,Jesus,61301,Michelle,43527
73,Landon,61117,Sofia,43370
74,Julian,60375,Vanessa,43217
75,Chase,57160,Jordan,43174
76,Cole,56838,Angelina,42804
77,Diego,56031,Caroline,41840
78,Jeremiah,55651,Avery,41698
79,Steven,53888,Audrey,41512
80,Sebastian,53851,Evelyn,40723
81,Xavier,52460,Maya,40024
82,Timothy,52449,Claire,39003
83,Carter,52312,Autumn,38519
84,Wyatt,51339,Jocelyn,38381
85,Brayden,50368,Ariana,37997
86,Blake,50101,Nevaeh,37927
87,Hayden,50039,Arianna,37824
88,Devin,49421,Jada,37072
89,Cody,48873,Bailey,36873
90,Richard,48572,Brooklyn,36850
91,Seth,48153,Aaliyah,36370
92,Dominic,48103,Amber,36211
93,Jaden,46264,Isabel,36031
94,Antonio,46232,Mariah,35673
95,Miguel,46084,Danielle,35612
96,Liam,44932,Melanie,35220
97,Patrick,44776,Sierra,34523
98,Carson,44628,Erin,33362
99,Jesse,43375,Amelia,33272
100,Tristan,43291,Molly,33261
101,Alejandro,43105,Isabelle,32860
102,Henry,42692,Madelyn,32617
103,Victor,40672,Melissa,32615
104,Trevor,40045,Jacqueline,32115
105,Bryce,39874,Marissa,32067
106,Jake,39831,Angela,31309
107,Riley,39616,Shelby,31303
108,Colin,39124,Leslie,31051
109,Jared,38010,Katie,30518
110,Jeremy,37478,Jade,30284
111,Mark,37249,Catherine,29693
112,Caden,36731,Diana,29536
113,Garrett,36223,Aubrey,29530
114,Parker,35726,Mya,28793
115,Marcus,35657,Amy,28754
116,Vincent,35263,Briana,28713
117,Kaleb,34755,Sophie,28678
118,Kaden,34629,Gabriela,28534
119,Brady,34302,Breanna,28019
120,Colton,34243,Gianna,27852
121,Kenneth,34082,Kennedy,27564
122,Joel,33666,Gracie,27477
123,Oscar,33535,Peyton,27471
124,Josiah,33238,Adriana,27399
125,Jorge,33024,Christina,27159
126,Ashton,32437,Courtney,26973
127,Cooper,32432,Daniela,26635
128,Tanner,31680,Lydia,26353
129,Eduardo,31399,Kathryn,26290
130,Paul,30935,Valeria,26207
131,Edward,30804,Layla,26199
132,Ivan,30692,Alexandria,25927
133,Preston,30321,Natalia,25523
134,Maxwell,30047,Angel,25434
135,Alan,29642,Laura,25010
136,Levi,29367,Charlotte,24255
137,Stephen,28888,Margaret,23909
138,Grant,28412,Cheyenne,23904
139,Nicolas,28264,Miranda,23735
140,Dakota,28170,Mikayla,23729
141,Omar,28156,Naomi,23728
142,Alexis,28026,Kelsey,23378
143,George,28001,Payton,23374
144,Eli,27920,Ana,23189
145,Collin,27826,Alicia,23148
146,Spencer,27448,Jillian,22817
147,Gage,27417,Daisy,22800
148,Max,27363,Mckenzie,22561
149,Ricardo,27184,Ashlyn,22462
150,Cristian,27182,Sabrina,22345
151,Derek,27018,Caitlin,22295
152,Micah,27007,Summer,22185
153,Brody,26689,Ruby,22021
154,Francisco,26510,Valerie,21955
155,Nolan,26370,Rylee,21950
156,Ayden,26288,Skylar,21892
157,Dalton,26173,Lindsey,21642
158,Shane,26121,Kelly,21615
159,Peter,26119,Genesis,21431
160,Damian,26028,Zoey,21399
161,Jeffrey,25911,Eva,21345
162,Brendan,25833,Sadie,21318
163,Travis,25730,Alexia,21228
164,Fernando,25147,Cassidy,21172
165,Peyton,24963,Kylee,21160
166,Conner,24926,Kendall,21028
167,Andres,24769,Jordyn,20993
168,Javier,24628,Kate,20765
169,Giovanni,24223,Jayla,20736
170,Shawn,24187,Karen,20603
171,Braden,24070,Tiffany,20183
172,Jonah,23691,Cassandra,20127
173,Bradley,23614,Juliana,20059
174,Cesar,23601,Reagan,19974
175,Emmanuel,23536,Caitlyn,19779
176,Manuel,23441,Giselle,19716
177,Edgar,22583,Serenity,19632
178,Mario,22421,Alondra,19496
179,Erik,22404,Lucy,19385
180,Edwin,22066,Bianca,18911
181,Johnathan,21914,Kiara,18910
182,Devon,21626,Crystal,18896
183,Erick,21425,Erica,18868
184,Wesley,21080,Angelica,18690
185,Oliver,20929,Hope,18681
186,Trenton,20895,Chelsea,18021
187,Hector,20877,Alana,17929
188,Malachi,20773,Liliana,17615
189,Jalen,20443,Brittany,17563
190,Raymond,20418,Camila,17562
191,Gregory,20068,Makenzie,17474
192,Abraham,19832,Lilly,17266
193,Elias,19611,Veronica,17242
194,Leonardo,19485,Abby,17214
195,Sergio,19443,Jazmin,17198
196,Donovan,19325,Adrianna,17178
