https://www.ssa.gov/OACT/babynames/decades/names1940s.html
rank,maleName,number,femaleName,number
1,James,795735,Mary,640062
2,Robert,758085,Linda,531652
3,John,711571,Barbara,425260
4,William,556442,Patricia,411408
5,Richard,477458,Carol,292328
6,David,426344,Sandra,265533
7,Charles,361734,Nancy,252054
8,Thomas,350754,Sharon,221231
9,Michael,336549,Judith,218030
10,Ronald,282454,Susan,212011
11,Larry,255891,Betty,194619
12,Donald,247810,Carolyn,181853
13,Joseph,230269,Margaret,173023
14,Gary,217757,Shirley,171779
15,George,209005,Judy,167718
16,Kenneth,198537,Karen,167697
17,Paul,183340,Donna,165524
18,Edward,174785,Kathleen,152979
19,Jerry,167239,Joyce,151494
20,Dennis,162103,Dorothy,132254
21,Frank,119417,Janet,130753
22,Daniel,112770,Diane,122877
23,Raymond,109061,Janice,118891
24,Roger,107597,Joan,117704
25,Stephen,106801,Elizabeth,116541
26,Gerald,103336,Brenda,112409
27,Walter,83727,Gloria,105045
28,Harold,82171,Virginia,98997
29,Steven,81204,Marilyn,98972
30,Douglas,80760,Martha,95381
31,Lawrence,80452,Beverly,95121
32,Terry,76966,Helen,90739
33,Wayne,75123,Bonnie,86885
34,Arthur,73965,Ruth,85662
35,Jack,73919,Frances,85442
36,Carl,72731,Jean,80366
37,Henry,72478,Ann,76794
38,Willie,72416,Phyllis,76137
39,Bruce,72094,Pamela,73120
40,Joe,72011,Jane,72536
41,Peter,69329,Alice,72390
42,Billy,67827,Peggy,72120
43,Roy,65639,Cheryl,70957
44,Ralph,64972,Doris,64139
45,Anthony,64825,Catherine,62082
46,Jimmy,63519,Elaine,60105
47,Albert,60272,Cynthia,58060
48,Bobby,58885,Marie,57519
49,Eugene,57267,Lois,56855
50,Johnny,57191,Connie,56601
51,Fred,56665,Christine,54562
52,Harry,56243,Diana,53696
53,Howard,53529,Gail,53138
54,Mark,50728,Joanne,51652
55,Alan,50303,Rose,51639
56,Louis,49425,Wanda,50774
